STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
TACY,TACUBAYA ENTRE GRAL. MANUEL M. P,19.404505,-99.195246,seismic,Stations_UNAM,SUELO DURO,0.062379,0.167441,0.127608,0.083326,0.0,0.0,0.0,0.0,0.058429,0.163807,0.115718,0.072938,0.062379,0.167441,0.127608,0.083326,0.034618,0.157707,0.046484,0.042813,,,,,,,,
OXPM,ESCUELA PRIMARIA MUGICA,17.061391,-96.716899,seismic,Stations_UNAM,SUELO,0.062118,0.189043,0.041304,0.030454,0.0,0.0,0.0,0.0,0.062053,0.157765,0.031737,0.016209,0.062118,0.189043,0.041304,0.030454,0.023566,0.044845,0.01908,0.016971,,,,,,,,
ACAD,ACAPULCO ESCUELA DIANA,16.86225,-99.87147,seismic,Stations_UNAM,LIMO ARENOSO,0.06082,0.145138,0.024684,0.011314,0.0,0.0,0.0,0.0,0.046043,0.13927,0.016449,0.008183,0.06082,0.145138,0.024684,0.010031,0.021615,0.024623,0.013112,0.011314,,,,,,,,
CUP5,IDEI PATIO 5,19.33024,-99.181076,seismic,Stations_UNAM,ROCA BASALTICA,0.058838,0.192501,0.099434,0.138832,0.0,0.0,0.0,0.0,0.055359,0.192501,0.098057,0.138832,0.058838,0.128475,0.099434,0.110932,0.033972,0.073744,0.056062,0.081401,,,,,,,,
ACAC,ACAPULCO CENTRO CULTURAL,16.84851,-99.85157,seismic,Stations_UNAM,ARENA - LIMO - ARCILLA,0.058739,0.2009,0.182918,0.023323,0.0,0.0,0.0,0.0,0.058739,0.2009,0.182918,0.02325,0.042338,0.10019,0.100996,0.023323,0.025611,0.049289,0.02342,0.009965,,,,,,,,
OXPC,OAXACA PROTECCION CIVIL,17.051219,-96.722974,seismic,Stations_UNAM,SUELO BLANDO,0.056897,0.122992,0.110987,0.059488,0.0,0.0,0.0,0.0,0.043682,0.083869,0.110987,0.059488,0.056897,0.122992,0.110979,0.053427,0.027235,0.056552,0.024022,0.011164,,,,,,,,
COMD,LA COMUNIDAD,18.122359,-100.523804,seismic,Stations_UNAM,ROCA,0.054517,0.053113,0.032171,0.012665,0.0,0.0,0.0,0.0,0.051265,0.053113,0.021698,0.012528,0.054517,0.052751,0.032171,0.012665,0.037408,0.039539,0.016715,0.010669,,,,,,,,
OXAL,ALAMEDA DE LEON,17.06148,-96.726042,seismic,Stations_UNAM,SUELO,0.05133,0.088407,0.028537,0.025851,0.0,0.0,0.0,0.0,0.05133,0.088407,0.021745,0.017213,0.043242,0.073056,0.028537,0.025851,0.015987,0.046814,0.021068,0.015506,,,,,,,,
ACAZ,ACAPULCO LA ZANJA,16.788528,-99.790152,seismic,Stations_UNAM,DEPOSITO BARRA,0.04484,0.083974,0.040339,0.0958,0.0,0.0,0.0,0.0,0.037508,0.069017,0.040339,0.0958,0.04484,0.083974,0.034185,0.083736,0.030257,0.043873,0.020513,0.015326,,,,,,,,
LMPP,LOMAS DEL MARMOL.  Puebla,19.00147,-98.18227,seismic,Stations_UNAM,ROCA,0.039778,0.074503,0.063533,0.030366,0.0,0.0,0.0,0.0,0.039778,0.074503,0.047502,0.021247,0.034652,0.073664,0.063533,0.030366,0.024608,0.070208,0.048491,0.030027,,,,,,,,
VIGA,LAS VIGAS,16.758703,-99.233268,seismic,Stations_UNAM,ROCA,0.036641,0.036995,0.015893,0.007732,0.0,0.0,0.0,0.0,0.031303,0.036995,0.015893,0.007079,0.036641,0.03652,0.013553,0.007732,0.014564,0.020928,0.009179,0.007202,,,,,,,,
POZU,POZUELOS,17.09008,-99.59754,seismic,Stations_UNAM,GRANITE,0.036285,0.046752,0.021608,0.011162,0.0,0.0,0.0,0.0,0.034648,0.046752,0.019626,0.011162,0.036285,0.044276,0.021608,0.008415,0.032803,0.032135,0.011225,0.007346,,,,,,,,
