custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_9079,-99.17025,20.0139,526.0,False,198.40546,0.9245
t_9080,-99.2182,20.01478,371.0,False,390.2064,1.37832
t_9081,-99.26615,20.01565,411.0,False,341.99864,1.22597
t_9082,-99.3141,20.01651,462.0,False,276.51759,1.07242
t_9083,-99.36204,20.01735,442.0,False,302.31289,1.12811
t_9084,-99.40999,20.01818,714.0,False,57.33543,0.65175
t_9085,-99.02542,20.05646,526.0,False,198.40546,0.9245
t_9086,-99.07338,20.0574,666.0,False,80.42021,0.70576
t_9087,-99.12135,20.05831,814.0,False,28.13655,0.561
t_9088,-99.16931,20.05922,573.0,False,149.64815,0.83827
t_9089,-99.21727,20.0601,328.0,False,434.8891,1.58692
t_9090,-99.26523,20.06097,388.0,False,370.32452,1.30945
t_9091,-99.3132,20.06183,323.0,False,439.47535,1.61505
t_9092,-99.36116,20.06267,373.0,False,387.92341,1.36987
t_9093,-99.40913,20.0635,514.0,False,212.20397,0.94923
t_9094,-99.02443,20.10178,549.0,False,173.43135,0.88032
t_9095,-99.07241,20.10272,528.0,False,196.15454,0.92049
t_9096,-99.12038,20.10363,415.0,False,336.94731,1.21246
t_9097,-99.16836,20.10454,461.0,False,277.80189,1.07508
t_9098,-99.21634,20.10542,298.0,False,460.31564,1.77097
t_9099,-99.26432,20.1063,256.0,False,487.37379,2.10711
t_9100,-99.3123,20.10715,257.0,False,486.84252,2.09773
t_9101,-99.36028,20.108,367.0,False,394.72373,1.39552
t_9102,-99.40826,20.10882,518.0,False,207.55018,0.94085
t_9103,-99.02343,20.14711,599.0,False,126.65999,0.79678
t_9104,-99.07143,20.14804,277.0,False,475.07785,1.92538
t_9105,-99.11942,20.14896,350.0,False,413.14229,1.47333
t_9106,-99.16741,20.14986,339.0,False,424.32735,1.52815
t_9107,-99.21541,20.15075,399.0,False,356.9498,1.26824
t_9108,-99.2634,20.15162,325.0,False,437.65721,1.60368
t_9109,-99.3114,20.15248,339.0,False,424.32735,1.52815
t_9110,-99.3594,20.15332,298.0,False,460.31564,1.77097
t_9111,-99.40739,20.15415,702.0,False,62.43173,0.66451
t_9112,-99.02244,20.19243,532.0,False,191.69647,0.91258
t_9113,-99.07045,20.19336,414.0,False,338.21288,1.21581
t_9114,-99.11845,20.19428,569.0,False,153.4432,0.84502
t_9115,-99.16647,20.19519,497.0,False,232.53282,0.98647
t_9116,-99.21448,20.19607,262.0,False,484.10601,2.052
t_9117,-99.26249,20.19695,284.0,False,470.4353,1.87119
t_9118,-99.3105,20.1978,576.0,False,146.84688,0.83328
t_9119,-99.35851,20.19865,581.0,False,142.26418,0.82508
t_9120,-99.40653,20.19947,523.0,False,201.80863,0.93057
t_9121,-99.02144,20.23776,309.0,False,451.58057,1.69903
t_9122,-99.06946,20.23869,273.0,False,477.60712,1.95769
t_9123,-99.11749,20.23961,299.0,False,459.55003,1.76419
t_9124,-99.16552,20.24051,229.0,False,499.78425,2.39366
t_9125,-99.21354,20.2414,426.0,False,322.92445,1.17671
t_9126,-99.26157,20.24228,300.0,False,458.77871,1.75747
t_9127,-99.3096,20.24313,893.0,False,16.2171,0.50459
t_9128,-99.35763,20.24398,730.0,False,51.16382,0.63544
t_9129,-99.40566,20.2448,296.0,False,461.82974,1.78466
t_9130,-99.02044,20.28309,319.0,False,443.04555,1.63824
t_9131,-99.06848,20.28402,648.0,False,91.10189,0.72824
